city,country,temp,temp_max,temp_min,humidity,pressure,sky,sunrise,sunset,wind,wind_deg,dt,cloudiness
Montbéliard,FR,3.19,3.88,0.22,90,1035,Clear,08:14 AM,04:42 PM,5.15,,11:09 PM,6
Maisons-Alfort,FR,6.43,8.42,3.93,90,1037,Clear,08:37 AM,04:54 PM,3.09,,11:09 PM,0
Louviers,FR,7.27,9.14,5.45,87,1038,Clear,08:44 AM,04:57 PM,3.09,,11:05 PM,0
Limeil-Brévannes,FR,6.16,8.27,3.77,92,1037,Clear,08:37 AM,04:54 PM,3.09,,11:09 PM,0
Les Pavillons-sous-Bois,FR,6.12,8.19,3.7,91,1038,Clear,08:37 AM,04:53 PM,0.45,,11:09 PM,0
Lattes,FR,5.28,5.55,1.08,74,1028,Clear,08:11 AM,05:08 PM,0.89,,11:09 PM,0
Grigny,FR,6.05,8.17,3.68,93,1037,Clear,08:37 AM,04:55 PM,3.09,,11:09 PM,0
Goussainville,FR,5.97,8.07,3.58,93,1038,Clear,08:38 AM,04:53 PM,3.6,,11:09 PM,0
Gien,FR,4.39,5.24,2.38,92,1035,Clear,08:32 AM,04:58 PM,3.81,,11:05 PM,0
Gagny,FR,6.24,8.28,3.79,91,1038,Clear,08:37 AM,04:53 PM,1.54,,11:09 PM,0
Firminy,FR,1.29,2.01,1.09,100,1033,Clouds,08:16 AM,05:00 PM,1.03,,11:09 PM,90
Échirolles,FR,2.62,5.74,1.17,97,1034,Clouds,08:09 AM,04:55 PM,0.97,,11:09 PM,62
Décines-Charpieu,FR,3.68,4.79,2.41,93,1033,Clouds,08:15 AM,04:56 PM,1.03,,11:09 PM,90
Dammarie-les-Lys,FR,5.79,8.25,3.76,93,1037,Clear,08:35 AM,04:54 PM,2.57,,11:09 PM,0
Colombes,FR,6.52,8.41,3.92,90,1034,Clear,08:38 AM,04:54 PM,1.54,,11:09 PM,0
Arrondissement de Cognac,FR,4.44,4.78,2.97,81,1031,Clear,08:35 AM,05:18 PM,6.69,,11:09 PM,0
Chenôve,FR,2.36,3.34,-0.98,87,1035,Clear,08:21 AM,04:50 PM,2.57,,11:09 PM,0
Chelles,FR,6.15,8.2,4.1,92,1038,Clear,08:37 AM,04:53 PM,3.6,,11:09 PM,0
Cesson-Sévigné,FR,8.6,9.98,6.61,71,1036,Clouds,08:50 AM,05:13 PM,5.14,,11:05 PM,90
Cayenne,FR,5.95,8.46,3.91,91,1038,Clouds,08:44 AM,04:54 PM,3.09,,11:09 PM,31
Carvin,FR,5.42,8.16,3.17,85,1039,Fog,08:43 AM,04:44 PM,1.54,,11:05 PM,40
Bonneuil-sur-Marne,FR,6.26,8.33,3.84,92,1037,Clear,08:37 AM,04:54 PM,3.09,,11:09 PM,0
Belfort,FR,1.92,3.55,-0.97,92,1036,Clear,08:15 AM,04:41 PM,3.77,,11:09 PM,7
Arrondissement de Bayeux,FR,10.21,10.63,10.21,85,1038,Clouds,08:52 AM,05:05 PM,3.45,,11:09 PM,83
Bagnolet,FR,6.18,8.12,3.62,91,1038,Clear,08:38 AM,04:54 PM,0.45,,11:05 PM,0
Autun,FR,-1.39,2.91,-2.61,84,1034,Clouds,08:22 AM,04:54 PM,2.82,,11:09 PM,11
Auch,FR,6.98,8.03,0.35,89,1030,Clear,08:25 AM,05:21 PM,0.45,,11:09 PM,2
Annecy-le-Vieux,FR,1.79,4.13,0.25,87,1033,Clouds,08:11 AM,04:51 PM,3.6,,11:09 PM,90
Alfortville,FR,6.53,8.47,3.97,91,1037,Clear,08:37 AM,04:54 PM,3.09,,11:04 PM,0
Les Ulis,FR,5.65,7.63,3.14,91,1037,Clear,08:38 AM,04:55 PM,0.89,,11:09 PM,0
Saint-Jean-de-la-Ruelle,FR,4.8,6.42,3.81,91,1035,Clear,08:36 AM,05:00 PM,1.79,,11:09 PM,0
Saint-Herblain,FR,7.47,7.94,6.48,84,1034,Clear,08:47 AM,05:17 PM,5.14,,11:09 PM,0
Arrondissement de Saint-Étienne,FR,-0.35,0.5,-0.63,91,1033,Clouds,08:15 AM,04:59 PM,1.41,,11:05 PM,89
Saint-Cyr-sur-Loire,FR,6.16,7.14,4.79,87,1035,Clear,08:38 AM,05:07 PM,4.63,,11:09 PM,0
Paris,FR,6.53,8.41,3.92,91,1037,Clear,08:38 AM,04:54 PM,0.45,,11:07 PM,0
Arrondissement de Boulogne-sur-Mer,FR,8.8,10.32,5.4,84,1039,Clouds,08:49 AM,04:47 PM,1.68,,11:06 PM,34
Outreau,FR,9.66,10.52,5.6,80,1039,Clouds,08:49 AM,04:48 PM,2.9,,11:09 PM,40
Orvault,FR,7.37,7.94,6.48,85,1034,Clear,08:47 AM,05:16 PM,5.14,,11:09 PM,0
Arrondissement de Metz,FR,4.15,9.26,1.67,92,1037,Clouds,08:24 AM,04:38 PM,2.57,,11:09 PM,75
Maurepas,FR,5.69,7.56,3.07,88,1037,Clear,08:39 AM,04:56 PM,2.06,,11:09 PM,0
Arrondissement de Laon,FR,5.14,6.49,5.14,92,1038,Clear,08:36 AM,04:45 PM,2.47,,11:07 PM,0
La Crau,FR,7.13,12.46,1.22,83,1028,Clear,08:01 AM,05:01 PM,2.06,,11:09 PM,0
La Courneuve,FR,6.44,8.43,3.94,92,1038,Clear,08:38 AM,04:53 PM,0.45,,11:09 PM,0
Gentilly,FR,6.33,8.14,3.65,91,1037,Clear,08:38 AM,04:54 PM,3.09,,11:08 PM,0
Garches,FR,5.95,7.84,3.35,91,1037,Clear,08:38 AM,04:55 PM,3.09,,11:09 PM,0
Croix,FR,5.17,8.68,3.12,85,1038,Fog,08:43 AM,04:42 PM,1.54,,11:09 PM,40
Couëron,FR,7.39,7.97,6.51,84,1034,Clear,08:47 AM,05:17 PM,5.14,,11:09 PM,0
Cernay,FR,1.12,4.05,-0.47,92,1036,Clear,08:14 AM,04:39 PM,3.09,,11:09 PM,6
Montussan,FR,3.46,4.15,2.91,82,1030,Clear,08:33 AM,05:21 PM,2.61,,11:09 PM,1
Saint-Laurent,FR,5.17,5.36,2.67,93,1038,Clear,08:32 AM,04:40 PM,2.36,,11:09 PM,2
Saint-Bris-le-Vineux,FR,2.29,2.64,2.29,93,1036,Clear,08:28 AM,04:53 PM,3,,11:09 PM,0
Garanou,FR,3.77,8.75,-1.05,77,1031,Clear,08:17 AM,05:20 PM,4.01,,11:05 PM,1
Var,FR,3.28,11.24,0,93,1029,Clear,08:01 AM,04:59 PM,0,,11:09 PM,0
Arrondissement de Narbonne,FR,1.59,3.31,-0.02,81,1029,Clear,08:14 AM,05:14 PM,0.11,,11:05 PM,0
Carbonne,FR,6.96,11.32,2.69,81,1029,Clear,08:21 AM,05:20 PM,0.63,,11:09 PM,1
Carbonne,FR,6.96,11.32,2.69,81,1029,Clear,08:21 AM,05:20 PM,0.63,,11:09 PM,1
Arrondissement de Marseille,FR,2.06,10.47,-1.9,59,1028,Clear,08:04 AM,05:03 PM,2.62,,11:09 PM,0
Saint-Pierre,FR,2.06,4.93,0.09,87,1028,Clear,08:06 AM,05:04 PM,2.06,,11:05 PM,0
Ilharre,FR,4.38,8.05,1.73,85,1028,Clear,08:30 AM,05:29 PM,1.19,,11:09 PM,4
Les Mées,FR,2.41,2.41,2.41,73,1030,Clear,08:04 AM,04:58 PM,1.99,,11:09 PM,0
Arrondissement de Castelsarrasin,FR,6.29,8.66,0.98,80,1029,Clear,08:24 AM,05:18 PM,1.15,,11:09 PM,0
Vallabrix,FR,4.37,4.89,3.2,79,1029,Clear,08:10 AM,05:04 PM,6.93,,11:09 PM,0
Lussolle,FR,2.79,5.09,0.56,87,1029,Clear,08:29 AM,05:23 PM,1.5,,11:09 PM,2
Pontenx-les-Forges,FR,3.61,8.33,2.01,85,1029,Clear,08:33 AM,05:26 PM,2.28,,11:09 PM,5
Pontenx-les-Forges,FR,3.61,8.33,2.01,85,1029,Clear,08:33 AM,05:26 PM,2.28,,11:09 PM,5
Saint-Trosse,FR,3.27,5.58,1.84,86,1029,Clear,08:33 AM,05:26 PM,2.13,,11:09 PM,5
Arrondissement de Périgueux,FR,2.33,5.14,-1.17,78,1027,Clear,08:30 AM,05:16 PM,2.48,,11:09 PM,0
Arrondissement de La Tour-du-Pin,FR,2.26,3.13,0.56,93,1033,Clouds,08:12 AM,04:55 PM,1.2,,11:09 PM,74
Four,FR,2.93,3.89,1.32,93,1033,Clouds,08:13 AM,04:56 PM,1.03,,11:09 PM,90
Corent,FR,0.96,0.96,0.96,93,1034,Clouds,08:21 AM,05:03 PM,1.54,,11:09 PM,90
Upper Savoy,FR,-6.25,-4.91,-8,87,1033,Clouds,08:10 AM,04:50 PM,3.6,,11:09 PM,90
Franche-Comté Region,FR,0.11,3.89,-1.34,88,1034,Clear,08:15 AM,04:47 PM,1.96,,11:09 PM,4
Jura,FR,-0.61,2.67,-3.12,77,1034,Clear,08:15 AM,04:48 PM,1.9,,11:09 PM,4
Trouy,FR,3.17,5.05,1.19,92,1035,Clear,08:30 AM,05:02 PM,3.79,,11:09 PM,0
Trouy,FR,3.17,5.05,1.19,92,1035,Clear,08:30 AM,05:02 PM,3.79,,11:09 PM,0
Doubs,FR,-0.74,0.77,-3.92,93,1035,Clouds,08:14 AM,04:45 PM,2.53,,11:09 PM,15
Arrondissement de Pontarlier,FR,-2.62,-0.03,-5.26,94,1034,Clouds,08:14 AM,04:47 PM,3.29,,11:05 PM,37
La Croix Verte,FR,6.05,7.49,3.82,89,1035,Clear,08:41 AM,05:10 PM,4.48,,11:09 PM,0
Ormenans,FR,1.53,4.33,-1.94,86,1035,Clear,08:16 AM,04:44 PM,4.3,,11:09 PM,4
Brittany Region,FR,7.15,8.57,6.73,93,1036,Clear,08:56 AM,05:19 PM,4.93,,11:09 PM,0
Champagne-Ardenne Region,FR,4.26,4.78,4.03,90,1037,Clear,08:30 AM,04:45 PM,3.34,,11:09 PM,0
Fontenailles,FR,1.89,1.89,0.15,93,1035,Clear,08:28 AM,04:55 PM,3.77,,11:09 PM,0
Audignicourt,FR,4.94,5.97,3.86,91,1038,Clear,08:37 AM,04:48 PM,2.64,,11:09 PM,0
Somme,FR,5.55,6.22,5.44,100,1039,Fog,08:42 AM,04:48 PM,2.06,,11:09 PM,90
Béthencourt-sur-Mer,FR,5.28,9.39,4.12,86,1039,Clouds,08:47 AM,04:52 PM,2.78,,11:09 PM,31
Arrondissement de Saint-Girons,FR,5.36,8.35,-0.37,73,1030,Clear,08:20 AM,05:21 PM,2.3,,11:09 PM,2
Arrondissement de Grenoble,FR,-4.64,-1.78,-6.35,89,1033,Clouds,08:09 AM,04:55 PM,1.7,,11:09 PM,37
Serres-Castet,FR,2.75,4.42,0.68,93,1028,Clear,08:27 AM,05:26 PM,1.54,,11:09 PM,0
Arrondissement de Mamers,FR,7.48,7.48,7.48,91,1037,Clear,08:44 AM,05:04 PM,3.24,,11:04 PM,1
Arrondissement de Bar-sur-Aube,FR,1.59,4.35,0.95,92,1036,Clear,08:26 AM,04:48 PM,3.23,,11:09 PM,0
Anguilcourt-le-Sart,FR,5.38,5.42,5.38,91,1038,Clear,08:37 AM,04:46 PM,3.06,,11:09 PM,0
Yerres,FR,6.18,8.3,3.81,92,1037,Clear,08:37 AM,04:54 PM,3.09,,11:08 PM,0
Arrondissement de Mulhouse,FR,1.57,4.11,-0.43,92,1036,Clouds,08:12 AM,04:39 PM,0.45,,11:05 PM,11
Hésingue,FR,2.2,4.26,0.08,91,1032,Clouds,08:12 AM,04:39 PM,1.54,,11:09 PM,21
Les Chenais,FR,8.32,9.71,6.35,92,1036,Clear,08:49 AM,05:12 PM,4.16,,11:09 PM,0
Arrondissement de Sarlat-la-Canéda,FR,1.26,3.58,-1.62,86,1029,Clear,08:27 AM,05:15 PM,1.51,,11:09 PM,0
Dhuizon,FR,4.61,5.5,3.81,87,1035,Clear,08:35 AM,05:02 PM,3.84,,11:09 PM,0
Dhuizon,FR,4.61,5.5,3.81,87,1035,Clear,08:35 AM,05:02 PM,3.84,,11:09 PM,0
Lot-et-Garonne,FR,2.15,8.1,-1.64,96,1029,Fog,08:27 AM,05:19 PM,0,,11:09 PM,90
Pont-du-Casse,FR,2.93,8.57,-1.17,100,1029,Fog,08:26 AM,05:19 PM,0,,11:09 PM,90
Pont-du-Casse,FR,2.93,8.57,-1.17,100,1029,Fog,08:26 AM,05:19 PM,0,,11:09 PM,90
Rosny-sous-Bois,FR,6.08,8.1,3.6,92,1038,Clear,08:37 AM,04:53 PM,0.45,,11:05 PM,0
Grégny,FR,0.06,1.7,-2.95,78,1034,Clear,08:07 AM,04:51 PM,3.4,,11:09 PM,3
Plérin,FR,8.23,8.71,7.87,84,1036,Clouds,08:57 AM,05:16 PM,3.13,,11:09 PM,90
Arrondissement de Rambouillet,FR,5.62,7.57,3.08,89,1037,Clear,08:38 AM,04:57 PM,3.49,,11:09 PM,0
Saint-Germain-de-la-Grange,FR,6.09,7.95,3.46,88,1037,Clear,08:40 AM,04:56 PM,2.06,,11:09 PM,0
Pouillon,FR,4.41,8.2,1.88,100,1029,Clear,08:31 AM,05:28 PM,0,,11:09 PM,6
Aiffres,FR,5.66,5.85,4.01,87,1032,Clear,08:38 AM,05:15 PM,2.68,,11:09 PM,0
Aiffres,FR,5.66,5.85,4.01,87,1032,Clear,08:38 AM,05:15 PM,2.68,,11:09 PM,0
Arrondissement de Dijon,FR,1.71,2.68,-0.1,87,1035,Clear,08:21 AM,04:49 PM,2.57,,11:09 PM,0
Marcilly-sur-Tille,FR,2.05,3.24,0.45,92,1035,Clear,08:21 AM,04:48 PM,2.61,,11:09 PM,1
Marcilly-sur-Tille,FR,2.05,3.24,0.45,92,1035,Clear,08:21 AM,04:48 PM,2.61,,11:09 PM,1
Montaigut-sur-Save,FR,7.51,8.1,6.12,81,1029,Clear,08:22 AM,05:18 PM,0.68,,11:09 PM,0
Allennes-les-Marais,FR,5.53,8.76,3.21,85,1039,Fog,08:43 AM,04:44 PM,1.54,,11:09 PM,40
Quiberon,FR,8.42,8.93,7.19,87,1033,Clear,08:54 AM,05:22 PM,9.8,,11:09 PM,3
Nexon,FR,3.01,4.34,0.48,78,1031,Clear,08:30 AM,05:11 PM,3,,11:09 PM,0
Loiret,FR,4.39,5.37,2.5,92,1036,Clear,08:34 AM,04:58 PM,4.08,,11:09 PM,0
La Jacqueminière,FR,2.29,4.61,2.24,86,1033,Clear,08:31 AM,04:55 PM,4.18,,11:05 PM,0
Quévert,FR,8.82,9.64,6.27,81,1037,Clouds,08:54 AM,05:13 PM,4.63,,11:09 PM,90
Hazebrouck,FR,7.3,10.4,3.72,91,1039,Clouds,08:46 AM,04:44 PM,2.08,,11:09 PM,16
Villeurbanne,FR,3.78,4.89,2.53,93,1033,Clouds,08:15 AM,04:56 PM,1.03,,11:09 PM,90
Arrondissement de Brest,FR,6.66,7.25,6.17,93,1035,Clouds,09:04 AM,05:23 PM,4.12,,11:09 PM,90
Amiens,FR,5.63,6.26,5.48,88,1038,Clouds,08:43 AM,04:49 PM,2.86,,11:09 PM,11
Strasbourg,FR,1.51,3.09,0.16,100,1037,Mist,08:15 AM,04:33 PM,2.06,,11:05 PM,11
Arrondissement de Nanterre,FR,6.53,8.34,3.84,88,1037,Clear,08:39 AM,04:54 PM,3.09,,11:05 PM,0
Arrondissement de Créteil,FR,6.41,8.43,3.94,91,1037,Clear,08:37 AM,04:54 PM,3.09,,11:09 PM,0
Arrondissement de Saint-Denis,FR,6.55,8.41,3.92,90,1035,Clear,08:38 AM,04:54 PM,0.45,,11:06 PM,0
Arrondissement de Clermont-Ferrand,FR,-1.37,-1.37,-1.37,93,1034,Clouds,08:22 AM,05:04 PM,1.54,,11:05 PM,90
Arrondissement de Clermont-Ferrand,FR,-1.37,-1.37,-1.37,93,1034,Clouds,08:22 AM,05:04 PM,1.54,,11:05 PM,90
Arrondissement de Tarbes,FR,2.54,6.81,2.06,100,1028,Clear,08:25 AM,05:24 PM,2.06,,11:09 PM,0
Arrondissement de Clermont,FR,4.84,6.75,3.73,91,1038,Clear,08:40 AM,04:51 PM,3.29,,11:09 PM,0
Arrondissement de Perpignan,FR,2.38,7.78,1.36,93,1029,Clear,08:13 AM,05:16 PM,1.03,,11:06 PM,0
Calvados,FR,9.87,10,9.35,71,1038,Clouds,08:51 AM,05:04 PM,3.6,,11:09 PM,90
Le Mans,FR,7.89,7.96,5.72,81,1036,Clear,08:43 AM,05:06 PM,3.6,,11:04 PM,0
Le Mans,FR,7.89,7.96,5.72,81,1036,Clear,08:43 AM,05:06 PM,3.6,,11:04 PM,0
Arrondissement de Reims,FR,4.82,6.23,4.41,93,1038,Clear,08:32 AM,04:46 PM,4.12,,11:07 PM,0
Argentan,FR,9.4,9.4,8.87,92,1037,Clouds,08:47 AM,05:04 PM,2.4,,11:05 PM,21
Arrondissement de Roanne,FR,0.98,3.76,-2.7,94,1034,Clouds,08:20 AM,04:59 PM,2.65,,11:09 PM,17
Arrondissement de Roanne,FR,0.98,3.76,-2.7,94,1034,Clouds,08:20 AM,04:59 PM,2.65,,11:09 PM,17
Landerneau,FR,7.13,8.42,6.49,90,1035,Clouds,09:03 AM,05:22 PM,6.17,,11:05 PM,90
Arrondissement de Beauvais,FR,5.43,8.78,4.07,97,1036,Mist,08:42 AM,04:53 PM,4.12,,11:08 PM,13
Ville-d'Avray,FR,6.11,8,3.51,91,1037,Clear,08:38 AM,04:55 PM,3.09,,11:09 PM,0
Arrondissement de Fontainebleau,FR,5.5,8.14,3.64,91,1037,Clear,08:35 AM,04:54 PM,3.37,,11:05 PM,0
Chamalières,FR,1.39,1.4,-0.41,93,1034,Clouds,08:22 AM,05:04 PM,1.54,,11:09 PM,90
Arrondissement de Saint-Brieuc,FR,7.87,8.36,7.52,84,1036,Clouds,08:57 AM,05:16 PM,4.12,,11:09 PM,90
Nièvre,FR,-0.19,4.3,-0.19,1,1035,Clear,08:26 AM,04:57 PM,2.12,,11:09 PM,1
La Seyne-sur-Mer,FR,9.3,12.71,1.47,61,1028,Clear,08:01 AM,05:02 PM,1.79,,11:09 PM,0
Coutances,FR,9.79,10.4,8.92,90,1037,Clear,08:54 AM,05:08 PM,2.92,,11:09 PM,5
Coutances,FR,9.79,10.4,8.92,90,1037,Clear,08:54 AM,05:08 PM,2.92,,11:09 PM,5
Mondeville,FR,10.38,10.53,9.88,71,1038,Clouds,08:50 AM,05:03 PM,3.6,,11:09 PM,90
Yèvres,FR,5.5,6.1,3.74,91,1036,Clear,08:40 AM,05:01 PM,4.85,,11:09 PM,0
Arrondissement de Saverne,FR,3.87,6.01,-0.79,94,1038,Clear,08:18 AM,04:34 PM,2.25,,11:09 PM,6
Lunéville,FR,3.02,4.68,1.35,92,1037,Clear,08:20 AM,04:38 PM,4.15,,11:05 PM,1
Arrondissement du Puy-en-Velay,FR,-0.57,-0.57,-0.57,97,1035,Clouds,08:17 AM,05:03 PM,0.81,,11:09 PM,72
Coubon,FR,0.4,0.4,0.4,97,1034,Clouds,08:16 AM,05:03 PM,1.14,,11:09 PM,88
Coubon,FR,0.4,0.4,0.4,97,1034,Clouds,08:16 AM,05:03 PM,1.14,,11:09 PM,88
Arrondissement de Charleville-Mézières,FR,4.4,5.46,2.77,94,1038,Clear,08:34 AM,04:41 PM,2.41,,11:09 PM,1
Arrondissement de Bonneville,FR,-4.7,-1.93,-6.58,62,1033,Clouds,08:09 AM,04:48 PM,3.17,,11:09 PM,33
Sotteville,FR,10.21,10.38,9.03,74,1038,Clouds,08:57 AM,05:07 PM,4.93,,11:09 PM,52
Riva-Bella,FR,10.29,10.54,8.08,71,1038,Clouds,08:50 AM,05:02 PM,3.6,,11:09 PM,90
Arrondissement de Saint-Julien-en-Genevois,FR,0.58,1.61,-2.36,84,1033,Clouds,08:11 AM,04:50 PM,3.6,,11:09 PM,90
Labenne,FR,6.26,8.4,2.08,92,1028,Clear,08:32 AM,05:29 PM,2.06,,11:09 PM,4
Bruges,FR,3.4,3.9,3.01,93,1030,Clear,08:34 AM,05:22 PM,2.57,,11:05 PM,0
Tresses,FR,3.22,3.98,2.73,82,1030,Clear,08:33 AM,05:21 PM,2.53,,11:09 PM,1
Lacanau,FR,3.18,3.92,3.03,82,1030,Clear,08:36 AM,05:23 PM,3.66,,11:06 PM,3
Gavray,FR,9.79,10.31,9.14,92,1037,Clear,08:53 AM,05:08 PM,2.57,,11:09 PM,0
Baron-sur-Odon,FR,9.93,10.06,9.42,71,1038,Clouds,08:50 AM,05:04 PM,3.6,,11:09 PM,90
Arrondissement de Nontron,FR,3.04,4.8,0.95,81,1030,Clear,08:30 AM,05:14 PM,3.07,,11:09 PM,0
Biguglia,FR,8.48,10.9,5.81,72,1030,Clear,07:46 AM,04:49 PM,1.34,,11:09 PM,0
Rots,FR,10.12,10.25,9.6,71,1038,Clouds,08:51 AM,05:04 PM,3.6,,11:09 PM,90
Crépy-en-Valois,FR,5.28,6.98,3.95,92,1038,Clear,08:37 AM,04:50 PM,2.67,,11:09 PM,0
Virelade,FR,3.58,4.32,3.08,83,1029,Clear,08:32 AM,05:21 PM,2.29,,11:09 PM,2
Châteauneuf-les-Martigues,FR,1.9,12.51,0.14,93,1028,Clear,08:05 AM,05:04 PM,2.06,,11:09 PM,0
Castandet,FR,3.16,5.27,1.54,100,1029,Fog,08:29 AM,05:24 PM,1.03,,11:09 PM,6
Saint-Laurent-du-Var,FR,8.7,11.85,4.5,72,1029,Clear,07:58 AM,04:55 PM,4.63,,11:05 PM,0
Vienne,FR,4.28,5.14,3.18,87,1033,Clear,08:35 AM,05:11 PM,4.63,,11:09 PM,0
Bonneuil-en-France,FR,6.33,8.35,3.86,93,1038,Clear,08:38 AM,04:53 PM,1.54,,11:09 PM,0
Wittenheim,FR,1.62,4.53,-0.01,95,1036,Clear,08:13 AM,04:38 PM,2.76,,11:08 PM,5
Vallauris,FR,7.37,11.24,3.89,74,1029,Clear,07:58 AM,04:56 PM,2.57,,11:09 PM,0
Sin-le-Noble,FR,4.98,6.31,3.25,88,1039,Clear,08:42 AM,04:44 PM,2.55,,11:09 PM,0
Arrondissement de Sens,FR,2.48,5.71,2.42,91,1036,Clear,08:31 AM,04:53 PM,3.36,,11:09 PM,0
Saint-Priest,FR,3.59,4.69,2.31,93,1033,Clouds,08:15 AM,04:56 PM,1.03,,11:09 PM,90
Saint-Pol-sur-Mer,FR,8.36,10.55,4.99,71,1037,Clouds,08:48 AM,04:44 PM,2.31,,11:09 PM,25
Saint-Pierre-des-Corps,FR,6.21,7.36,5,87,1035,Clear,08:38 AM,05:07 PM,4.63,,11:08 PM,0
Saint-Pierre-des-Corps,FR,6.21,7.36,5,87,1035,Clear,08:38 AM,05:07 PM,4.63,,11:08 PM,0
Saint-Maximin-la-Sainte-Baume,FR,5.19,10.81,-1.56,66,1029,Clear,08:03 AM,05:01 PM,2.38,,11:09 PM,0
Saint-Martin-d'Hères,FR,2.98,6.1,1.53,97,1033,Clouds,08:09 AM,04:55 PM,1.06,,11:06 PM,57
Saint-Jean-de-la-Ruelle,FR,4.8,6.42,3.81,91,1035,Clear,08:36 AM,05:00 PM,1.79,,11:09 PM,0
Saint-Jean-de-Braye,FR,4.81,5.51,3.82,91,1035,Clear,08:35 AM,04:59 PM,1.79,,11:09 PM,0
Saint-Jean-de-Braye,FR,4.81,5.51,3.82,91,1035,Clear,08:35 AM,04:59 PM,1.79,,11:09 PM,0
Saint-Fons,FR,3.52,4.63,2.26,93,1033,Clouds,08:15 AM,04:57 PM,1.03,,11:09 PM,90
Arrondissement de Saintes,FR,4.73,5.83,3.05,85,1031,Clear,08:37 AM,05:19 PM,6.32,,11:09 PM,1
Sainte-Foy-lès-Lyon,FR,2.92,4.04,1.68,95,1033,Clouds,08:15 AM,04:57 PM,1.03,,11:09 PM,90
Saint Egreve,FR,3.05,6.1,1.53,85,1035,Clouds,08:10 AM,04:55 PM,1.34,,11:09 PM,72
Saint-Dié-des-Vosges,FR,0.96,3.16,-0.75,93,1037,Clear,08:17 AM,04:38 PM,2.15,,11:09 PM,1
Saint-Cyr-sur-Loire,FR,6.16,7.14,4.79,87,1035,Clear,08:38 AM,05:07 PM,4.63,,11:09 PM,0
Saint-Amand-les-Eaux,FR,4.31,6.79,3.24,98,1038,Clear,08:41 AM,04:42 PM,2.47,,11:09 PM,0
